ds,y
             2016 11 07,0.02861
             2016 11 06,0.17028
             2016 11 07,0.02554
             2016 11 07,0.0373
             2016 11 06,0.20896
             2016 11 07,0.03005
             2016 11 06,0.01563
             2016 11 06,0.02127
             2016 11 05,0.10919
             2016 11 06,0.01482
             2016 11 06,0.00579
             2016 11 04,0.00217
             2016 11 05,0.0805
             2016 11 05,0.00013
             2016 11 05,0.02278
             2016 11 02,0.03529
             2016 11 05,0.02272
             2016 11 05,0.00799
             2016 11 03,0.10343
             2016 11 05,0.00176
             2016 11 04,0.00663
             2016 11 02,0.00098
             2016 11 02,0.04056
             2016 11 02,0.00239
             2016 11 02,0.03605
             2016 10 30,0.01592
             2016 10 30,0.00653
             2016 10 30,0.00698
             2016 10 22,0.32698
             2016 10 31,0.11212
             2016 10 30,0.01439
             2016 10 30,0.00485
             2016 10 29,0.05787
             2016 10 29,0.03024
             2016 10 30,0.01846
             2016 10 30,0.0002
             2016 10 29,0.08245
             2016 10 29,0.00267
             2016 10 28,0.0144
             2016 10 27,0.25158
             2016 10 27,0.15093
             2016 10 27,0.00649
             2016 10 26,0.07661
             2016 10 26,0.04775
             2016 10 27,0.02222
             2016 10 27,0.01066
             2016 10 26,0.04166
             2016 10 26,0.03154
             2016 10 25,0.04721
             2016 10 26,0.00054
             2016 10 26,0.00038
             2016 10 26,0.01241
             2016 10 25,0.03125
             2016 10 25,0.01413
             2016 10 23,0.00296
             2016 10 22,0.01185
             2016 10 22,0.01416
             2016 10 22,0.05283
             2016 10 22,0.02995
             2016 10 22,0.10187
             2016 10 21,0.02156
             2016 10 21,0.014
             2016 10 21,0.03553
             2016 10 19,0.11885
             2016 10 19,0.00449
             2016 10 19,0.00059
             2016 10 10,0.25471
             2016 10 09,0.00144
             2016 10 09,0.08162
             2016 10 09,0.01305
             2016 10 07,0.063
             2016 10 13,0.15162
             2016 10 12,0.16671
             2016 10 13,0.00371
             2016 10 13,0.00009
             2016 10 12,0.02673
             2016 10 12,0.01017
             2016 10 10,0.05188
             2016 10 09,0.29899
             2016 10 10,0.41084
             2016 10 10,0.00323
             2016 10 10,0.00125
             2016 10 11,0.02308
             2016 10 10,0.00558
             2016 10 10,0.0459
             2016 10 09,0.00694
             2016 10 09,0.03259
             2016 10 11,0.00017
             2016 10 09,0.01766
             2016 10 07,0.09973
             2016 10 09,0.00143
             2016 10 06,0.03061
             2016 10 05,0.02116
             2016 10 08,0.00897
             2016 10 08,0.01699
             2016 10 08,0.02436
             2016 10 06,0.13209
             2016 10 06,0.00444
             2016 10 05,0.01216
             2016 10 07,0.02152
             2016 10 07,0.01239
             2016 10 06,0.01015
             2016 10 06,0.00135
             2016 10 06,0.074
             2016 10 06,0.0409
             2016 10 06,0.00785
             2016 10 06,0.00593
